,SubjID,Opt1Item1,Opt1Item2,Opt2Item1,Opt2Item2,OnsetTime,Run,ReactionTime,Button,Choice,Opt1Code,Opt1Type,Opt2Code,Opt2Type,Consistent,Opt1Item1Value,Opt1Item2Value,Opt2Item1Value,Opt2Item2Value,Opt1Item1Rank,Opt1Item2Rank,Opt2Item1Rank,Opt2Item2Rank,Opt1Value,Opt2Value,ValueDiff,Opt1Rank,Opt2Rank
0,3301,10,0,22,0,4.0281,1,3.9909,-1,0,53.0,1.0,26,1.0,-1,-0.373781915326,,-0.257838708409,,14.0,,22.0,,-0.373781915326,-0.257838708409,-0.115943206917,14.0,22.0
1,3301,19,19,22,0,8.5205,1,1.3696,1,1,49.0,2.0,26,1.0,0,-0.48098102045,-0.48098102045,-0.257838708409,,13.0,13.0,22.0,,-0.757086304362,-0.257838708409,-0.499247595953,5.0,22.0
3,3301,3,0,22,0,14.543,1,1.377,2,1,38.0,1.0,26,1.0,0,0.741557762527,,-0.257838708409,,34.0,,22.0,,0.741557762527,-0.257838708409,0.999396470936,34.0,22.0
5,3301,27,3,22,0,19.533,1,0.84454,2,2,3.0,3.0,26,1.0,0,0.240248274956,0.741557762527,-0.257838708409,,29.0,34.0,22.0,,0.9572121024,-0.257838708409,1.21505081081,37.0,22.0
6,3301,27,27,22,0,24.035,1,0.68308,2,2,2.0,2.0,26,1.0,0,0.240248274956,0.240248274956,-0.257838708409,,29.0,29.0,22.0,,0.29391400371,-0.257838708409,0.551752712119,30.0,22.0
8,3301,6,12,22,0,30.071,1,0.86073,2,1,27.0,3.0,26,1.0,0,-0.269332972951,-0.215207513316,-0.257838708409,,21.0,23.0,22.0,,0.0768644070626,-0.257838708409,0.334703115472,27.0,22.0
10,3301,29,29,22,0,37.568,1,0.73056,2,1,8.0,2.0,26,1.0,1,-0.6300917585,-0.6300917585,-0.257838708409,,9.0,9.0,22.0,,-0.292640618302,-0.257838708409,-0.034801909893,20.0,22.0
11,3301,16,26,22,0,42.043,1,1.2578,2,2,16.0,3.0,26,1.0,0,-0.710296193358,-0.534728808687,-0.257838708409,,7.0,12.0,22.0,,-0.689794180106,-0.257838708409,-0.431955471697,8.0,22.0
13,3301,15,15,22,0,48.076,1,0.64886,2,1,32.0,2.0,26,1.0,0,-0.307994015546,-0.307994015546,-0.257838708409,,18.0,18.0,22.0,,-0.729053988987,-0.257838708409,-0.471215280578,6.0,22.0
14,3301,19,3,22,0,52.522,1,0.98575,2,2,37.0,3.0,26,1.0,1,-0.48098102045,0.741557762527,-0.257838708409,,13.0,34.0,22.0,,0.525056342013,-0.257838708409,0.782895050422,32.0,22.0
15,3301,22,22,22,0,57.025,1,0.85579,2,2,25.0,2.0,26,1.0,0,-0.257838708409,-0.257838708409,-0.257838708409,,22.0,22.0,22.0,,-1.2448744418,-0.257838708409,-0.987035733391,2.0,22.0
17,3301,22,27,22,0,70.056,1,0.85227,2,1,22.0,3.0,26,1.0,1,-0.257838708409,0.240248274956,-0.257838708409,,22.0,29.0,22.0,,1.28817709491,-0.257838708409,1.54601580332,38.0,22.0
19,3301,22,19,22,0,75.574,1,1.1321,2,1,39.0,3.0,26,1.0,0,-0.257838708409,-0.48098102045,-0.257838708409,,22.0,13.0,22.0,,0.0683161013914,-0.257838708409,0.3261548098,26.0,22.0
21,3301,29,10,22,0,80.562,1,1.4166,2,1,30.0,3.0,26,1.0,0,-0.6300917585,-0.373781915326,-0.257838708409,,9.0,14.0,22.0,,0.0911943234534,-0.257838708409,0.349033031862,28.0,22.0
23,3301,29,0,22,0,86.548,1,0.8846,2,2,13.0,1.0,26,1.0,0,-0.6300917585,,-0.257838708409,,9.0,,22.0,,-0.6300917585,-0.257838708409,-0.372253050091,9.0,22.0
25,3301,13,0,22,0,92.537,1,1.0256,2,2,15.0,1.0,26,1.0,0,0.706493438023,,-0.257838708409,,33.0,,22.0,,0.706493438023,-0.257838708409,0.964332146432,33.0,22.0
26,3301,13,26,22,0,97.022,1,0.98244,2,2,5.0,3.0,26,1.0,0,0.706493438023,-0.534728808687,-0.257838708409,,33.0,12.0,22.0,,0.888232128407,-0.257838708409,1.14607083682,35.0,22.0
28,3301,19,10,22,0,102.04,1,1.4186,2,2,46.0,3.0,26,1.0,1,-0.48098102045,-0.373781915326,-0.257838708409,,13.0,14.0,22.0,,-1.48686858312,-0.257838708409,-1.22902987471,1.0,22.0
30,3301,16,16,22,0,108.55,1,1.2729,2,1,21.0,2.0,26,1.0,1,-0.710296193358,-0.710296193358,-0.257838708409,,7.0,7.0,22.0,,-0.60057181608,-0.257838708409,-0.342733107671,10.0,22.0
32,3301,28,0,22,0,119.08,1,0.80434,2,1,14.0,1.0,26,1.0,1,-0.0492876199734,,-0.257838708409,,24.0,,22.0,,-0.0492876199734,-0.257838708409,0.208551088436,24.0,22.0
34,3301,26,0,22,0,127.05,1,1.0011,2,1,33.0,1.0,26,1.0,0,-0.534728808687,,-0.257838708409,,12.0,,22.0,,-0.534728808687,-0.257838708409,-0.276890100278,12.0,22.0
36,3301,8,0,22,0,133.07,1,0.9526,2,1,1.0,1.0,26,1.0,1,-0.0169474762446,,-0.257838708409,,25.0,,22.0,,-0.0169474762446,-0.257838708409,0.240891232164,25.0,22.0
38,3301,16,0,22,0,139.54,1,1.046,2,1,43.0,1.0,26,1.0,0,-0.710296193358,,-0.257838708409,,7.0,,22.0,,-0.710296193358,-0.257838708409,-0.452457484949,7.0,22.0
40,3301,27,0,22,0,146.11,1,0.72804,2,2,9.0,1.0,26,1.0,0,0.240248274956,,-0.257838708409,,29.0,,22.0,,0.240248274956,-0.257838708409,0.498086983365,29.0,22.0
42,3301,26,26,22,0,151.07,1,0.65572,2,1,28.0,2.0,26,1.0,0,-0.534728808687,-0.534728808687,-0.257838708409,,12.0,12.0,22.0,,-0.773012109963,-0.257838708409,-0.515173401554,4.0,22.0
44,3301,3,16,22,0,157.07,1,0.87299,2,1,6.0,3.0,26,1.0,1,0.741557762527,-0.710296193358,-0.257838708409,,34.0,7.0,22.0,,-1.2441757086,-0.257838708409,-0.986337000191,3.0,22.0
45,3301,27,3,22,0,161.52,1,0.64629,2,1,3.0,3.0,26,1.0,1,0.240248274956,0.741557762527,-0.257838708409,,29.0,34.0,22.0,,0.9572121024,-0.257838708409,1.21505081081,37.0,22.0
47,3301,19,0,22,0,167.58,1,0.78435,2,1,54.0,1.0,26,1.0,0,-0.48098102045,,-0.257838708409,,13.0,,22.0,,-0.48098102045,-0.257838708409,-0.223142312041,13.0,22.0
49,3301,6,12,22,0,174.05,1,1.2351,2,2,27.0,3.0,26,1.0,1,-0.269332972951,-0.215207513316,-0.257838708409,,21.0,23.0,22.0,,0.0768644070626,-0.257838708409,0.334703115472,27.0,22.0
50,3301,3,3,22,0,178.52,1,0.67222,2,2,36.0,2.0,26,1.0,1,0.741557762527,0.741557762527,-0.257838708409,,34.0,34.0,22.0,,0.339246148203,-0.257838708409,0.597084856612,31.0,22.0
52,3301,10,0,22,0,183.58,1,1.1004,1,1,53.0,1.0,26,1.0,0,-0.373781915326,,-0.257838708409,,14.0,,22.0,,-0.373781915326,-0.257838708409,-0.115943206917,14.0,22.0
